INFO:2026-01-21 14:28:05,894: Epoch [1/500], Step [4500/35359], Mel Loss: 0.65052, Gen Loss: 8.57591, Disc Loss: 3.68928, Mono Loss: 0.06150, S2S Loss: 3.65862, SLM Loss: 2.74870
INFO:2026-01-21 14:28:51,992: Epoch [1/500], Step [4600/35359], Mel Loss: 0.62257, Gen Loss: 9.92629, Disc Loss: 3.18462, Mono Loss: 0.05080, S2S Loss: 3.38236, SLM Loss: 2.65682
INFO:2026-01-21 14:29:36,493: Epoch [1/500], Step [4700/35359], Mel Loss: 0.61975, Gen Loss: 11.12163, Disc Loss: 3.08321, Mono Loss: 0.06597, S2S Loss: 3.73695, SLM Loss: 2.54478
INFO:2026-01-21 14:30:21,327: Epoch [1/500], Step [4800/35359], Mel Loss: 0.66373, Gen Loss: 9.43864, Disc Loss: 3.31211, Mono Loss: 0.06548, S2S Loss: 3.24144, SLM Loss: 2.59052
INFO:2026-01-21 14:31:06,234: Epoch [1/500], Step [4900/35359], Mel Loss: 0.64655, Gen Loss: 9.06117, Disc Loss: 4.02178, Mono Loss: 0.01567, S2S Loss: 3.04425, SLM Loss: 2.42053
INFO:2026-01-21 14:31:50,406: Epoch [1/500], Step [5000/35359], Mel Loss: 0.62242, Gen Loss: 14.35043, Disc Loss: 2.53017, Mono Loss: 0.03014, S2S Loss: 3.26528, SLM Loss: 2.66630
INFO:2026-01-21 14:32:34,941: Epoch [1/500], Step [5100/35359], Mel Loss: 0.61065, Gen Loss: 13.97758, Disc Loss: 2.64964, Mono Loss: 0.06384, S2S Loss: 3.99320, SLM Loss: 2.55994
INFO:2026-01-21 14:33:18,909: Epoch [1/500], Step [5200/35359], Mel Loss: 0.58721, Gen Loss: 12.96619, Disc Loss: 2.50635, Mono Loss: 0.08191, S2S Loss: 3.30637, SLM Loss: 2.69168
INFO:2026-01-21 14:34:02,440: Epoch [1/500], Step [5300/35359], Mel Loss: 0.60103, Gen Loss: 9.53785, Disc Loss: 3.76161, Mono Loss: 0.02879, S2S Loss: 4.04605, SLM Loss: 2.44334
INFO:2026-01-21 14:34:46,981: Epoch [1/500], Step [5400/35359], Mel Loss: 0.59066, Gen Loss: 15.42971, Disc Loss: 2.13385, Mono Loss: 0.02039, S2S Loss: 3.50925, SLM Loss: 2.46185
INFO:2026-01-21 14:35:31,137: Epoch [1/500], Step [5500/35359], Mel Loss: 0.58916, Gen Loss: 11.69826, Disc Loss: 3.13476, Mono Loss: 0.05195, S2S Loss: 3.72712, SLM Loss: 2.47528
INFO:2026-01-21 14:36:16,143: Epoch [1/500], Step [5600/35359], Mel Loss: 0.58124, Gen Loss: 9.79396, Disc Loss: 3.15408, Mono Loss: 0.02814, S2S Loss: 3.53037, SLM Loss: 2.30673
INFO:2026-01-21 14:37:01,111: Epoch [1/500], Step [5700/35359], Mel Loss: 0.60768, Gen Loss: 14.61692, Disc Loss: 2.49931, Mono Loss: 0.12377, S2S Loss: 3.35885, SLM Loss: 2.61063
INFO:2026-01-21 14:37:46,068: Epoch [1/500], Step [5800/35359], Mel Loss: 0.60118, Gen Loss: 11.22117, Disc Loss: 2.97554, Mono Loss: 0.07545, S2S Loss: 4.11646, SLM Loss: 2.60055
INFO:2026-01-21 14:38:31,261: Epoch [1/500], Step [5900/35359], Mel Loss: 0.59209, Gen Loss: 16.93415, Disc Loss: 2.11724, Mono Loss: 0.03074, S2S Loss: 3.21764, SLM Loss: 2.43581
INFO:2026-01-21 14:39:15,048: Epoch [1/500], Step [6000/35359], Mel Loss: 0.61377, Gen Loss: 13.08023, Disc Loss: 2.92482, Mono Loss: 0.11490, S2S Loss: 3.77266, SLM Loss: 2.47897
INFO:2026-01-21 14:39:59,451: Epoch [1/500], Step [6100/35359], Mel Loss: 0.60044, Gen Loss: 12.10561, Disc Loss: 3.13318, Mono Loss: 0.07675, S2S Loss: 3.41646, SLM Loss: 2.50061
INFO:2026-01-21 14:40:44,641: Epoch [1/500], Step [6200/35359], Mel Loss: 0.58192, Gen Loss: 10.60371, Disc Loss: 3.02701, Mono Loss: 0.05131, S2S Loss: 3.66651, SLM Loss: 2.65751
INFO:2026-01-21 14:41:29,449: Epoch [1/500], Step [6300/35359], Mel Loss: 0.57557, Gen Loss: 10.60846, Disc Loss: 3.81596, Mono Loss: 0.06243, S2S Loss: 4.77098, SLM Loss: 2.50806
INFO:2026-01-21 14:42:13,924: Epoch [1/500], Step [6400/35359], Mel Loss: 0.60364, Gen Loss: 13.99215, Disc Loss: 2.66977, Mono Loss: 0.04405, S2S Loss: 3.81380, SLM Loss: 2.61577
INFO:2026-01-21 14:42:58,300: Epoch [1/500], Step [6500/35359], Mel Loss: 0.58693, Gen Loss: 20.04225, Disc Loss: 1.36629, Mono Loss: 0.02966, S2S Loss: 3.49892, SLM Loss: 2.35441
INFO:2026-01-21 14:43:42,820: Epoch [1/500], Step [6600/35359], Mel Loss: 0.58430, Gen Loss: 12.32550, Disc Loss: 2.73656, Mono Loss: 0.05237, S2S Loss: 4.02094, SLM Loss: 2.23673
