INFO:2026-02-01 13:59:46,946: Epoch [2/3000], Step [500], Loss: 0.64441, Disc Loss: 3.83869, Dur Loss: 2.27671, CE Loss: 0.09840, Norm Loss: 2.58837, F0 Loss: 7.24102, LM Loss: 2.71174, Gen Loss: 5.96087, Sty Loss: 0.45640, Diff Loss: 0.99806
INFO:2026-02-01 14:00:21,139: Epoch [2/3000], Step [600], Loss: 0.63284, Disc Loss: 3.94921, Dur Loss: 2.29437, CE Loss: 0.09790, Norm Loss: 2.31076, F0 Loss: 6.94470, LM Loss: 2.40741, Gen Loss: 6.43900, Sty Loss: 0.43766, Diff Loss: 0.88965
INFO:2026-02-01 14:00:55,935: Epoch [2/3000], Step [700], Loss: 0.63840, Disc Loss: 3.92450, Dur Loss: 2.75580, CE Loss: 0.11775, Norm Loss: 2.26863, F0 Loss: 4.39334, LM Loss: 2.34275, Gen Loss: 5.62900, Sty Loss: 0.39622, Diff Loss: 1.00588
INFO:2026-02-01 14:01:31,028: Epoch [2/3000], Step [800], Loss: 0.64669, Disc Loss: 3.63851, Dur Loss: 1.91493, CE Loss: 0.08780, Norm Loss: 2.92125, F0 Loss: 7.06087, LM Loss: 2.58162, Gen Loss: 7.50843, Sty Loss: 0.38978, Diff Loss: 0.88314
INFO:2026-02-01 14:02:05,009: Epoch [2/3000], Step [900], Loss: 0.63206, Disc Loss: 4.03808, Dur Loss: 5.46620, CE Loss: 0.20229, Norm Loss: 3.29492, F0 Loss: 10.00426, LM Loss: 2.44587, Gen Loss: 5.06583, Sty Loss: 0.42891, Diff Loss: 0.88716
INFO:2026-02-01 14:02:39,510: Epoch [2/3000], Step [1000], Loss: 0.64004, Disc Loss: 3.51385, Dur Loss: 2.80927, CE Loss: 0.11846, Norm Loss: 3.08817, F0 Loss: 9.02147, LM Loss: 2.54087, Gen Loss: 6.23028, Sty Loss: 0.38387, Diff Loss: 1.04544
INFO:2026-02-01 14:03:14,406: Epoch [2/3000], Step [1100], Loss: 0.65337, Disc Loss: 3.81492, Dur Loss: 2.74027, CE Loss: 0.11910, Norm Loss: 2.80647, F0 Loss: 6.54058, LM Loss: 2.61463, Gen Loss: 6.59812, Sty Loss: 0.44356, Diff Loss: 0.98439
INFO:2026-02-01 14:03:49,782: Epoch [2/3000], Step [1200], Loss: 0.63735, Disc Loss: 3.83283, Dur Loss: 1.81087, CE Loss: 0.07988, Norm Loss: 2.33224, F0 Loss: 5.97630, LM Loss: 2.48806, Gen Loss: 6.73246, Sty Loss: 0.39355, Diff Loss: 0.81938
INFO:2026-02-01 14:04:24,498: Epoch [2/3000], Step [1300], Loss: 0.63956, Disc Loss: 3.63752, Dur Loss: 1.95638, CE Loss: 0.08260, Norm Loss: 1.97187, F0 Loss: 6.49495, LM Loss: 2.43397, Gen Loss: 6.99088, Sty Loss: 0.38856, Diff Loss: 0.98161
INFO:2026-02-01 14:04:59,463: Epoch [2/3000], Step [1400], Loss: 0.61470, Disc Loss: 3.40575, Dur Loss: 2.33263, CE Loss: 0.10896, Norm Loss: 3.16967, F0 Loss: 9.55438, LM Loss: 2.64826, Gen Loss: 7.74101, Sty Loss: 0.34575, Diff Loss: 0.89870
INFO:2026-02-01 14:05:34,775: Epoch [2/3000], Step [1500], Loss: 0.65811, Disc Loss: 3.76625, Dur Loss: 2.14736, CE Loss: 0.09499, Norm Loss: 2.06758, F0 Loss: 4.81118, LM Loss: 2.46199, Gen Loss: 6.63011, Sty Loss: 0.32828, Diff Loss: 0.99623
INFO:2026-02-01 14:06:08,752: Epoch [2/3000], Step [1600], Loss: 0.59879, Disc Loss: 3.71369, Dur Loss: 2.87629, CE Loss: 0.15517, Norm Loss: 2.32811, F0 Loss: 10.02210, LM Loss: 2.58652, Gen Loss: 7.62761, Sty Loss: 0.33452, Diff Loss: 0.92897
INFO:2026-02-01 14:06:43,054: Epoch [2/3000], Step [1700], Loss: 0.63170, Disc Loss: 3.63416, Dur Loss: 2.79296, CE Loss: 0.11791, Norm Loss: 2.38278, F0 Loss: 7.21715, LM Loss: 2.54847, Gen Loss: 6.08383, Sty Loss: 0.36526, Diff Loss: 0.99933
INFO:2026-02-01 14:07:18,488: Epoch [2/3000], Step [1800], Loss: 0.62237, Disc Loss: 3.70417, Dur Loss: 2.53920, CE Loss: 0.12425, Norm Loss: 2.79259, F0 Loss: 7.46715, LM Loss: 2.76518, Gen Loss: 7.38162, Sty Loss: 0.46549, Diff Loss: 0.84478
INFO:2026-02-01 14:07:53,148: Epoch [2/3000], Step [1900], Loss: 0.61730, Disc Loss: 3.50616, Dur Loss: 3.00009, CE Loss: 0.13954, Norm Loss: 3.11315, F0 Loss: 8.74513, LM Loss: 2.55155, Gen Loss: 6.33174, Sty Loss: 0.48025, Diff Loss: 0.97447
INFO:2026-02-01 14:08:28,007: Epoch [2/3000], Step [2000], Loss: 0.62651, Disc Loss: 3.78933, Dur Loss: 2.87192, CE Loss: 0.11957, Norm Loss: 3.15220, F0 Loss: 11.06870, LM Loss: 2.49204, Gen Loss: 6.71354, Sty Loss: 0.48275, Diff Loss: 0.98202
INFO:2026-02-01 14:09:02,445: Epoch [2/3000], Step [2100], Loss: 0.61914, Disc Loss: 3.74615, Dur Loss: 3.83228, CE Loss: 0.16320, Norm Loss: 3.76884, F0 Loss: 7.17271, LM Loss: 2.46857, Gen Loss: 5.89428, Sty Loss: 0.40003, Diff Loss: 0.92294
INFO:2026-02-01 14:09:37,137: Epoch [2/3000], Step [2200], Loss: 0.63229, Disc Loss: 3.50109, Dur Loss: 3.36496, CE Loss: 0.16826, Norm Loss: 3.18890, F0 Loss: 8.96625, LM Loss: 2.54034, Gen Loss: 6.25923, Sty Loss: 0.47590, Diff Loss: 0.73134
INFO:2026-02-01 14:10:11,595: Epoch [2/3000], Step [2300], Loss: 0.61812, Disc Loss: 3.55478, Dur Loss: 2.06526, CE Loss: 0.08584, Norm Loss: 3.21091, F0 Loss: 8.59592, LM Loss: 2.49135, Gen Loss: 7.72071, Sty Loss: 0.38053, Diff Loss: 0.91162
INFO:2026-02-01 14:10:46,179: Epoch [2/3000], Step [2400], Loss: 0.64459, Disc Loss: 3.68357, Dur Loss: 2.13763, CE Loss: 0.10150, Norm Loss: 2.04522, F0 Loss: 10.37932, LM Loss: 2.52092, Gen Loss: 7.58557, Sty Loss: 0.36871, Diff Loss: 0.84618
INFO:2026-02-01 14:11:21,438: Epoch [2/3000], Step [2500], Loss: 0.64376, Disc Loss: 3.59813, Dur Loss: 2.23546, CE Loss: 0.08397, Norm Loss: 3.01379, F0 Loss: 7.44909, LM Loss: 2.55141, Gen Loss: 7.50976, Sty Loss: 0.41497, Diff Loss: 0.99166
INFO:2026-02-01 14:11:55,885: Epoch [2/3000], Step [2600], Loss: 0.63500, Disc Loss: 3.71673, Dur Loss: 2.13199, CE Loss: 0.09097, Norm Loss: 2.74470, F0 Loss: 7.58585, LM Loss: 2.56512, Gen Loss: 6.75369, Sty Loss: 0.49619, Diff Loss: 0.93796
INFO:2026-02-01 14:12:31,219: Epoch [2/3000], Step [2700], Loss: 0.62545, Disc Loss: 3.70189, Dur Loss: 3.70059, CE Loss: 0.17697, Norm Loss: 2.71010, F0 Loss: 8.76630, LM Loss: 2.40853, Gen Loss: 5.45881, Sty Loss: 0.54832, Diff Loss: 0.99224
